id,from,to,article_ids,weight
400,Bình Thuận,NGỌC THÀNH,[53],1
401,Bình Thuận,Nghệ An,[53],1
402,Bình Thuận,TP Hà Nội,[52],1
403,Bình Thuận,Thanh Hóa,[53],1
404,Bình Thuận,Thủ đô Hà Nội,[53],1
405,Bình Thuận,Thừa Thiên Huế,[53],1
406,Bình Thuận,Tây Bắc Bộ,[53],1
407,Bình Thuận,Tây Nguyên,[53],1
408,Bình Thuận,miền Đông,[53],1
409,Bình Thuận,quần đảo Trường Sa,[53],1
410,Bình Thuận,thành phố Phan Thiết,[52],1
411,Bình Thuận,Đông Bắc Bộ,[53],1
412,Bình Định,TP Nha Trang,[79],1
413,Bình Định,cảng Hòn Rớ,[79],1
414,Bùi Xuân Cường,Bình Thuận,[52],1
415,Bùi Xuân Cường,Bộ Y tế,[52],1
416,Bùi Xuân Cường,TP Hà Nội,[52],1
417,Bùi Xuân Cường,UBND quận Tân Bình,[52],1
418,Bùi Xuân Cường,phường 4,[52],1
419,Bùi Xuân Cường,quận Tân Bình,[52],1
420,Bùi Xuân Cường,sân bay Tân Sơn Nhất,[52],1
421,Bùi Xuân Cường,thành phố Phan Thiết,[52],1
422,Bảo Trâm,Anh Tú,[36],1
423,Bảo Trâm,Ngọc Anh,[36],1
424,Bảo Trâm,Việt Nam,[36],1
425,Bảo Tín Minh Châu,Ngân hàng BIDV,[18],1
426,Bảo Tín Minh Châu,Ngân hàng Eximbank,[18],1
427,Bảo Tín Minh Châu,Ngân hàng Nhà nước,[18],1
428,Bảo Tín Minh Châu,Ngân hàng Vietcombank,[18],1
429,Bảo Tín Minh Châu,Vietnam +,[18],1
430,Bảo Tín Minh Châu,Đức Duy,[18],1
431,Bảo tàng Chiến tranh Lạnh,Cơ sở Tín hiệu Quân đội Khẩn cấp,[115],1
432,Bảo tàng Chiến tranh Lạnh,John Diefenbaker,[115],1
433,Bảo tàng Chiến tranh Lạnh,Justin Trudeau,[115],1
434,Bảo tàng Chiến tranh Lạnh,Mỹ hội Mỹ,[115],1
435,Bảo tàng Chiến tranh Lạnh,New York Times,[115],1
436,Bảo tàng Chiến tranh Lạnh,Pierre Elliott Trudeau,[115],1
437,Bảo tàng Chiến tranh Lạnh,Thủ đô Canada,[115],1
438,Bảo tàng Chiến tranh Lạnh,Trạm Lực lượng Canada Carp,[115],1
439,Bảo tàng Chiến tranh Lạnh,Trụ sở Chính phủ Khẩn cấp Trung ương,[115],1
440,Bảo tàng Chiến tranh Lạnh,Tây Virginia,[115],1
441,Bảo tàng Chiến tranh Lạnh,làng Carp,[115],1
442,Bảo tàng Chiến tranh Lạnh,thành phố Ottawa,[115],1
443,Bảo tàng Nghệ thuật Pérez,David Beckham,[24],1
444,Bảo tàng Nghệ thuật Pérez,Entertainment Tonight,[24],1
445,Bảo tàng Nghệ thuật Pérez,Jennifer Lopez,[24],1
446,Bảo tàng Nghệ thuật Pérez,Liun Manuel Miranda,[24],1
447,Bảo tàng Nghệ thuật Pérez,Luis Fonsi,[24],1
448,Bảo tàng Nghệ thuật Pérez,Mark Anthony,[24],1
449,Bảo tàng Nghệ thuật Pérez,Salma Hayek,[24],1
450,Bảo tàng Nghệ thuật Pérez,nhà hàng Sexy Fish,[24],1
451,Bảo tàng Nghệ thuật Pérez,tờ Hola,[24],1
452,Bảo Định,Công ty TNHH MTV Khai thác công trình thủy lợi Tiền Giang,[15],1
453,Bảo Định,Gò Công Tây,[15],1
454,Bảo Định,Hàm Luông,[15],1
455,Bảo Định,Năm Thôn,[15],1
456,Bảo Định,huyện Gò Công Đông,[15],1
457,Bắc -,Bộ Tài nguyên và Môi trường,[67],1
458,Bắc -,Cà Mau,[67],1
459,Bắc -,Cần Thơ,[67],1
